SNO,BATCH,DAY,SESSION,BRANCHES,TOTAL,ROOM,COURSE,FACULTY,FACULTYID
1,VI-SU-B1,MON,FN,CSE (107),107,5102,JFS,XYZ,FAC001
2,VI-SU-B1,TUE,FN,CSE (107),107,5102,CP,XYZ,FAC001
3,VI-SU-B1,WED,FN,CSE (107),107,5102,CP,XYZ,FAC001
4,VI-SU-B1,THU,AN,CSE (107),107,5102,DBS,XYZ,FAC001
5,VI-SU-B1,FRI,AN,CSE (107),107,5102,JFS,XYZ,FAC002
6,VI-SU-B1,SAT,AN,CSE (107),107,5102,CP,BP,FAC003
7,VI-SU-B2,MON,FN,AI&ML (72) + IT (35),107,5106,DBS,BR,FAC002
8,VI-SU-B2,TUE,FN,AI&ML (72) + IT (35),107,5106,CP,BP,FAC004
9,VI-SU-B2,WED,FN,AI&ML (72) + IT (35),107,5106,JFS,patro,FAC002
10,VI-SU-B2,THU,AN,AI&ML (72) + IT (35),107,5106,CP,BP,FAC004
11,VI-SU-B2,FRI,AN,AI&ML (72) + IT (35),107,5106,JFS,patro,FAC002
12,VI-SU-B2,SAT,AN,AI&ML (72) + IT (35),107,5106,CP,BP,FAC001
13,V1-SU-B3,MON,AN,CS (31) + DS (31) + ECE (13),75,5104,JFS,XYZ,FAC001
14,V1-SU-B3,TUE,AN,CS (31) + DS (31) + ECE (13),75,5104,CP,XYZ,FAC001
15,V1-SU-B3,WED,AN,CS (31) + DS (31) + ECE (13),75,5104,DBS,XYZ,FAC001
16,V1-SU-B3,THU,FN,CS (31) + DS (31) + ECE (13),75,5104,CP,XYZ,FAC001
17,V1-SU-B3,FRI,FN,CS (31) + DS (31) + ECE (13),75,5104,JFS,XYZ,FAC001
18,V1-SU-B3,SAT,FN,CS (31) + DS (31) + ECE (13),75,5104,CP,XYZ,FAC005
19,VI-SN-B1,MON,FN,CSE (89),89,5204,JFS,KMY,FAC006
20,VI-SN-B1,TUE,FN,CSE (89),89,5204,DBS,PVNR,FAC007
21,VI-SN-B1,WED,FN,CSE (89),89,5204,CP,CVR,FAC007
22,VI-SN-B1,THU,AN,CSE (89),89,5204,CP,CVR,FAC007
23,VI-SN-B1,FRI,AN,CSE (89),89,5204,CP,CVR,FAC005
24,VI-SN-B1,SAT,AN,CSE (89),89,5204,JFS,KMY,FAC001
25,VI-SN-B2,MON,FN,AI&ML (55) + IT (38),93,5104,CP,XYZ,FAC001
26,VI-SN-B2,TUE,FN,AI&ML (55) + IT (38),93,5104,CP,XYZ,FAC001
27,VI-SN-B2,WED,FN,AI&ML (55) + IT (38),93,5104,JFS,XYZ,FAC001
28,VI-SN-B2,THU,AN,AI&ML (55) + IT (38),93,5104,DBS,XYZ,FAC001
29,VI-SN-B2,FRI,AN,AI&ML (55) + IT (38),93,5104,JFS,XYZ,FAC001
30,VI-SN-B2,SAT,AN,AI&ML (55) + IT (38),93,5104,CP,XYZ,FAC001
31,VI-SN-B3,MON,AN,CS (29) + DS (41) + ECE (45) + ME (1),116,5102,CP,XYZ,FAC001
32,VI-SN-B3,TUE,AN,CS (29) + DS (41) + ECE (45) + ME (1),116,5102,JFS,XYZ,FAC001
33,VI-SN-B3,WED,AN,CS (29) + DS (41) + ECE (45) + ME (1),116,5102,DBS,XYZ,FAC001
34,VI-SN-B3,THU,FN,CS (29) + DS (41) + ECE (45) + ME (1),116,5102,JFS,XYZ,FAC001
35,VI-SN-B3,FRI,FN,CS (29) + DS (41) + ECE (45) + ME (1),116,5102,CP,XYZ,FAC001
36,VI-SN-B3,SAT,FN,CS (29) + DS (41) + ECE (45) + ME (1),116,5102,CP,XYZ,FAC001
37,VI-SB-B1,MON,FN,CSE (109),109,5101,CP,XYZ,FAC001
38,VI-SB-B1,TUE,FN,CSE (109),109,5101,JFS,XYZ,FAC001
39,VI-SB-B1,WED,FN,CSE (109),109,5101,CP,XYZ,FAC001
40,VI-SB-B1,THU,AN,CSE (109),109,5101,CP,XYZ,FAC001
41,VI-SB-B1,FRI,AN,CSE (109),109,5101,DBS,XYZ,FAC001
42,VI-SB-B1,SAT,AN,CSE (109),109,5101,JFS,XYZ,FAC001
43,VI-SB-B2,MON,FN,CSE (38) + IT (76),114,5005,JFS,XYZ,FAC001
44,VI-SB-B2,TUE,FN,CSE (38) + IT (76),114,5005,CP,XYZ,FAC001
45,VI-SB-B2,WED,FN,CSE (38) + IT (76),114,5005,CP,XYZ,FAC001
46,VI-SB-B2,THU,AN,CSE (38) + IT (76),114,5005,CP,XYZ,FAC001
47,VI-SB-B2,FRI,AN,CSE (38) + IT (76),114,5005,JFS,XYZ,FAC001
48,VI-SB-B2,SAT,AN,CSE (38) + IT (76),114,5005,DBS,XYZ,FAC001
49,VI-SB-B3,MON,FN,AIML (88),88,5201,CP,XYZ,FAC001
50,VI-SB-B3,TUE,FN,AIML (88),88,5201,JFS,XYZ,FAC001
51,VI-SB-B3,WED,FN,AIML (88),88,5201,DBS,XYZ,FAC001
52,VI-SB-B3,THU,AN,AIML (88),88,5201,JFS,XYZ,FAC001
53,VI-SB-B3,FRI,AN,AIML (88),88,5201,CP,XYZ,FAC001
54,VI-SB-B3,SAT,AN,AIML (88),88,5201,CP,XYZ,FAC001
55,VI-SB-B4,MON,AN,DS (84) + EEE (10) + ECE (23),117,5101,CP,XYZ,FAC001
56,VI-SB-B4,TUE,AN,DS (84) + EEE (10) + ECE (23),117,5101,CP,XYZ,FAC001
57,VI-SB-B4,WED,AN,DS (84) + EEE (10) + ECE (23),117,5101,JFS,XYZ,FAC001
58,VI-SB-B4,THU,FN,DS (84) + EEE (10) + ECE (23),117,5101,CP,XYZ,FAC001
59,VI-SB-B4,FRI,FN,DS (84) + EEE (10) + ECE (23),117,5101,DBS,XYZ,FAC001
60,VI-SB-B4,SAT,FN,DS (84) + EEE (10) + ECE (23),117,5101,JFS,XYZ,FAC001
61,VI-SB-B5,MON,AN,CS (69) + ECE (36),105,5106,JFS,XYZ,FAC001
62,VI-SB-B5,TUE,AN,CS (69) + ECE (36),105,5106,DBS,XYZ,FAC001
63,VI-SB-B5,WED,AN,CS (69) + ECE (36),105,5106,CP,XYZ,FAC001
64,VI-SB-B5,THU,FN,CS (69) + ECE (36),105,5106,CP,XYZ,FAC001
65,VI-SB-B5,FRI,FN,CS (69) + ECE (36),105,5106,JFS,XYZ,FAC001
66,VI-SB-B5,SAT,FN,CS (69) + ECE (36),105,5106,CP,XYZ,FAC001
67,VI-SB-B6,MON,FN,CSE(31)+AI&ML(6)+CS (8) + DS (11) + ECE (15)+IT(4),91,5301,CP,XYZ,FAC001
68,VI-SB-B6,TUE,FN,CSE(31)+AI&ML(6)+CS (8) + DS (11) + ECE (15)+IT(4),91,5301,JFS,XYZ,FAC001
69,VI-SB-B6,WED,FN,CSE(31)+AI&ML(6)+CS (8) + DS (11) + ECE (15)+IT(4),91,5301,DBS,XYZ,FAC001
70,VI-SB-B6,THU,AN,CSE(31)+AI&ML(6)+CS (8) + DS (11) + ECE (15)+IT(4),91,5301,CP,XYZ,FAC001
